First Letter	Second Letter	% probability Second Letter follows First Letter
z	z	5.339890627
y	z	0.036735900
x	z	0.006441502
w	z	0.000892285
v	z	9.558199128e-05
u	z	0.099526955
t	z	0.034334153
s	z	0.004231917
r	z	0.008505914
q	z	0.000427793
p	z	0.002463026
o	z	0.054692940
n	z	0.033818669
m	z	0.004003602
l	z	0.009160402
k	z	0.000178263
j	z	0.001904453
i	z	0.502263119
h	z	0.000306215
g	z	0.003919765
f	z	0.000153782
e	z	0.041280596
d	z	0.003137651
c	z	0.019570537
b	z	0.001466141
a	z	0.169493779
_	z	0.026802181
z	y	3.056603746
y	y	0.006528140
x	y	0.563391574
w	y	0.169925451
v	y	0.600870214
u	y	0.218925049
t	y	1.480919674
s	y	0.445644472
r	y	3.275268642
q	y	0.000366679
p	y	0.476125619
o	y	0.451882591
n	y	1.346186423
m	y	3.652271012
l	y	8.620460217
k	y	1.117187892
j	y	0.028746464
i	y	0.002939997
h	y	0.614922030
g	y	0.478885072
f	y	0.213533207
e	y	1.328093781
d	y	1.210181523
c	y	0.845677927
b	y	7.597346002
a	y	2.841003060
_	y	1.331213337
z	x	0.007835971
y	x	0.007879102
x	x	0.644390034
w	x	0.000158093
v	x	0.000113504
u	x	0.087589829
t	x	0.022425556
s	x	0.000342194
r	x	0.004884632
q	x	0.010328135
p	x	0.002022865
o	x	0.108602811
n	x	0.041243065
m	x	0.001146211
l	x	0.002004236
k	x	0.000876459
j	x	0.000251532
i	x	0.201082932
h	x	4.346906097e-05
g	x	0.000145599
f	x	0.000388238
e	x	0.985478434
d	x	0.000100681
c	x	0.000618790
b	x	0.000881917
a	x	0.125490395
_	x	0.011704648
z	w	0.106468558
y	w	0.265498855
x	w	0.134003798
w	w	0.002944810
v	w	0.001726450
u	w	0.006865138
t	w	0.601888123
s	w	0.489827501
r	w	0.200439640
q	w	0.077430458
p	w	0.056028367
o	w	4.409670384
n	w	0.082605199
m	w	0.016223656
l	w	0.356006227
k	w	0.280243994
j	w	0.001185792
i	w	0.006437593
h	w	0.058536403
g	w	0.051339499
f	w	0.014591684
e	w	0.817436381
d	w	0.174571988
c	w	0.003031021
b	w	0.029159091
a	w	0.831085512
_	w	6.665903415
z	v	0.236157470
y	v	0.013219484
x	v	0.501169407
w	v	0.001251343
v	v	0.018011231
u	v	0.073713048
t	v	0.012431008
s	v	0.009690634
r	v	0.667855997
q	v	0.009228097
p	v	0.001314238
o	v	1.878678977
n	v	0.437205103
m	v	0.005870555
l	v	0.596732160
k	v	0.010985446
j	v	0.003808906
i	v	2.374706131
h	v	0.003401213
g	v	0.002132603
f	v	0.000675634
e	v	1.588198013
d	v	0.313541640
c	v	0.002305254
b	v	0.150059915
a	v	2.413851434
_	v	0.626072267
z	u	1.153037948
y	u	0.053573061
x	u	1.438853358
w	u	0.070854969
v	u	0.171575648
u	u	0.010820794
t	u	1.709688215
s	u	3.200097918
r	u	1.710546975
q	u	98.702138413
p	u	4.139453070
o	u	12.197877169
n	u	0.660842419
m	u	3.518164287
l	u	1.924558001
k	u	0.295418616
j	u	34.733022608
i	u	0.123917163
h	u	1.177560440
g	u	2.936192251
f	u	3.422112855
e	u	0.131919465
d	u	1.749438167
c	u	3.352206421
b	u	12.459657862
a	u	1.234742521
_	u	1.120628282
z	t	0.178430088
y	t	0.870225259
x	t	17.290224610
w	t	0.119140207
v	t	0.004593909
u	t	14.001630713
t	t	1.862895874
s	t	12.957032651
r	t	4.376108439
q	t	0.009411437
p	t	3.408949049
o	t	4.732232857
n	t	9.638203169
m	t	0.041837876
l	t	1.798746284
k	t	0.112654669
j	t	0.012181314
i	t	12.788141928
h	t	2.650969377
g	t	0.610098702
f	t	3.380979836
e	t	2.662056305
d	t	0.044226393
c	t	8.239315572
b	t	0.766776915
a	t	13.265338094
_	t	15.785984051
z	s	0.109847371
y	s	3.824371874
x	s	0.037381269
w	s	1.402177043
v	s	0.037253081
u	s	12.566332045
t	s	2.378204367
s	s	4.633232354
r	s	5.166816062
q	s	0.015583873
p	s	2.303521974
o	s	2.834463294
n	s	4.307239083
m	s	2.585959688
l	s	2.185360213
k	s	6.159254945
j	s	0.012468779
i	s	11.908714704
h	s	0.199303713
g	s	2.258606789
f	s	0.161784159
e	s	7.147902491
d	s	2.425194339
c	s	0.355487370
b	s	1.693962319
a	s	9.376965803
_	s	7.090602668
z	r	0.234072670
y	r	0.261820732
x	r	0.007572191
w	r	1.174212843
v	r	0.072379463
u	r	14.039765551
t	r	2.994442546
s	r	0.047433869
r	r	1.723155401
q	r	0.008311399
p	r	14.744488575
o	r	11.877301911
n	r	0.104380618
m	r	0.148261156
l	r	0.253590921
k	r	0.265039662
j	r	0.227276729
i	r	3.732140892
h	r	1.182774795
g	r	7.233268064
f	r	7.688103013
e	r	13.146493322
d	r	1.938188199
c	r	3.963759477
b	r	6.742879708
a	r	10.243649478
_	r	2.353531695
z	q	0.012580687
y	q	0.000770683
x	q	0.290278746
w	q	0.004105049
v	q	2.389549782e-05
u	q	0.010736192
t	q	7.936148474e-05
s	q	0.120311112
r	q	0.012042329
q	q	0.007028021
p	q	0.000190424
o	q	0.015691303
n	q	0.080441300
m	q	0.000341771
l	q	0.001112365
k	q	0.000690768
j	q	0.000215598
i	q	0.060832002
h	q	0.004521748
g	q	0.000559559
f	q	0.000100841
e	q	0.176879166
d	q	0.018515587
c	q	0.145224710
b	q	0.000226991
a	q	0.015714325
_	q	0.201526176
z	p	0.074837116
y	p	0.392386557
x	p	23.208251701
w	p	0.025951306
v	p	0.004832864
u	p	4.697144879
t	p	0.014858095
s	p	2.187014416
r	p	0.473480437
q	p	0.004339039
p	p	5.694721006
o	p	1.960694828
n	p	0.048130002
m	p	5.537651461
l	p	0.407591971
k	p	0.064657407
j	p	0.019116398
i	p	0.829470039
h	p	0.005757236
g	p	0.010032086
f	p	0.003335314
e	p	1.010722668
d	p	0.019903049
c	p	0.007907923
b	p	0.008651721
a	p	1.738771062
_	p	3.366188256
z	o	4.827820716
y	o	12.608718845
x	o	1.127639731
w	o	10.107547194
v	o	5.132962017
u	o	0.229704573
t	o	9.922352723
s	o	4.974837206
r	o	8.894406439
q	o	0.009533663
p	o	12.881489171
o	o	3.358158649
n	o	6.054792742
m	o	11.150455325
l	o	7.865621010
k	o	0.779097616
j	o	27.838973809
i	o	5.672912614
h	o	7.478549588
g	o	7.522474199
f	o	16.125585287
e	o	0.373730621
d	o	6.050902100
c	o	18.869351564
b	o	11.488558927
a	o	0.031847879
_	o	6.623767553
z	n	0.118186569
y	n	0.379040137
x	n	0.015829648
w	n	4.005488226
v	n	0.015024294
u	n	11.729664295
t	n	0.097750853
s	n	0.188981920
r	n	2.245595955
q	n	0.008800305
p	n	0.030892396
o	n	14.842732985
n	n	0.936488548
m	n	0.336502534
l	n	0.101089514
k	n	8.743783456
j	n	0.021847312
i	n	26.104937854
h	n	0.231108576
g	n	1.859561590
f	n	0.008768120
e	n	8.446121915
d	n	0.168474602
c	n	0.024088751
b	n	0.041829676
a	n	19.977811897
_	n	2.291781026
z	m	0.170666007
y	m	0.649725236
x	m	0.054375870
w	m	0.035728932
v	m	0.001660737
u	m	2.931258987
t	m	0.175665709
s	m	0.777009907
r	m	1.727315777
q	m	0.002750095
p	m	0.253257710
o	m	5.605341660
n	m	0.231767027
m	m	2.464177641
l	m	0.540661621
k	m	0.159790327
